ActivateAudioSlowmoMode	Below is a list of modes and their respective hashes.\n\n| Mode (string)               | Hash               |\n|-----------------------------|--------------------|\n| SLOWMO_BIG_SCORE_JUMP       | 0x2B981B0C         |\n| JSH_EXIT_TUNNEL_SLOWMO      | 0x2562AA6          |\n| SLOW_MO_METH_HOUSE_RAYFIRE  | 0xDB9E1909         |\n| SLOWMO_FIB4\\_TRUCK_SMASH     | 0x9E144347         |\n| SLOWMO_PROLOGUE_VAULT       | 0xEA2E68E1         |\n| SLOWMO_T1\\_RAYFIRE_EXPLOSION | 0xD6D358F3         |\n| SLOWMO_T1\\_TRAILER_SMASH     | 0xBE607345         |\n| BARRY\\_01\\_SLOWMO             | 0xD59540D4         |\n| BARRY\\_02\\_SLOWMO             | 0x12F140B3         |\n| SLOWMO_EXTREME\\_04           | 0xF562EA50         |\n| NIGEL\\_02\\_SLOWMO_SETTING     | 0x384689B0         |\n\n**Parameters**\n- `mode`: A string indicating the audio slow motion mode to use, *see the table*.
IsTrackedPedVisible	```\nreturns whether or not a ped is visible within your FOV, not this check auto's to false after a certain distance.  \nTarget needs to be tracked.. won't work otherwise.  \n```
IsTrainCaboose	\n\n**Parameters**\n- `train`: The train handle\n\n**Returns** Returns true if the train is the caboose of the chain.
IsTurretSeat	\n\n**Parameters**\n- `vehicle`: The vehicle to check.\n- `seatIndex`: See eSeatPosition declared in [`IS_VEHICLE_SEAT_FREE`](#\\_0x22AC59A870E6A669).
IsTvPlaylistItemPlaying	```\nIS_*\n```
IsUsingKeyboard	\n\n**Parameters**\n- `padIndex`: The control system instance to use. See [`ENABLE_ALL_CONTROL_ACTIONS`](#\\_0xA5FFE9B05F199DE7).
IsUsingKeyboard_2	\n\n**Parameters**\n- `padIndex`: The control system instance to use. See [`ENABLE_ALL_CONTROL_ACTIONS`](#\\_0xA5FFE9B05F199DE7).
IsValidMpGamerTagMovie	```\nIS_*\n```
IsVehicleAConvertible	Determines if a vehicle is a convertible with an animatable roof. This native checks if the specified vehicle model features a convertible roof that can be lowered or raised through an animation.\n\n```\nNativeDB Introduced: v323\n```\n\n**Parameters**\n- `vehicle`: The vehicle to check.\n- `checkRoofExtras`: When set to `false`, the native checks only for vehicles with an animatable convertible roof. Set to `true` to include additional checks for vehicles that might have a non-animatable roof (i.e., using vehicle extras)\n\n**Returns** Returns `true` if the vehicle is a convertible with an animatable roof or if `checkRoofExtras` is `true` and the vehicle has a roof (animatable or not). Returns `false` if the vehicle does not meet the criteria.\n\n```lua\nlocal vehicle = GetVehiclePedIsIn(PlayerPedId(), false)\nif IsVehicleAConvertible(vehicle, false) then\n    print("The vehicle is a convertible with an animatable roof.")\nelse\n    print("The vehicle is not a convertible or does not have an animatable roof.")\nend\n```
IsVehicleAttachedToTowTruck	```\nScripts verify that towTruck is the first parameter, not the second.  \n```
IsVehicleAudiblyDamaged	\n\n**Returns** Returns true if the vehicle has any audible damage effects applied to it.
IsVehicleBeingHalted	```\nReturns true if vehicle is halted by BRING_VEHICLE_TO_HALT\n_IS_VEHICLE_*\n```\n\n```\nNativeDB Introduced: v1493\n```
IsVehicleDamaged	```\nAppears to return true if the vehicle has any damage, including cosmetically.\nGET_*\n```
IsVehicleDoorDamaged	See eDoorId declared in [`SET_VEHICLE_DOOR_SHUT`](#\\_0x93D9BD300D7789E5)
IsVehicleDoorFullyOpen	See eDoorId declared in [`SET_VEHICLE_DOOR_SHUT`](#\\_0x93D9BD300D7789E5)\n\n**Parameters**\n- `vehicle`: The vehicle to check.\n- `doorIndex`: The index of the door to check.\n\n**Returns** A bool indiciating if the specified door is fully open on the specified vehicle.
IsVehicleDriveable	```\np1 is always 0 in the scripts.  \np1 = check if vehicle is on fire  \n```
IsVehicleEngineOnFire	Only ever used once in decompiled scripts: **am_pi_menu**:\nReturns true if the engine is on fire, or if the vehicle engine health is < 0 and it **has been** on fire.\n\nIt sometimes doesn't return true when the vehicle engine has been on fire, and has since been fixed. I'm not really sure what the exact conditions are.\n\nThis usually returns true even if there are no visible flames yet (engine health > 0). However if you monitor engine health you'll see that it starts decreasing as soon as this returns true.\n\n**Parameters**\n- `vehicle`: The vehicle to check.\n\n**Returns** Returns true when the engine of your vehicle is on fire. Returns false if it's not on fire.\n\n```lua\nlocal vehicle = GetVehiclePedIsIn(PlayerPedId(), false)\nSetVehicleEngineHealth(vehicle, 99)\n\nCreateThread(function()\n    -- waiting for the vehicle to be on fire, usually takes one small\n    -- crash into a wall or something to do this if engine health < 100.\n    while IsVehicleEngineOnFire(vehicle) ~= 1 do\n        Wait(0)\n    end\n    print("Vehicle is now on fire!")\nend)\n```
IsVehicleInBurnout	```\nReturns whether the specified vehicle is currently in a burnout.  \nvb.net  \nPublic Function isVehicleInBurnout(vh As Vehicle) As Boolean  \n        Return Native.Function.Call(Of Boolean)(Hash.IS_VEHICLE_IN_BURNOUT, vh)  \n    End Function  \n```
IsVehicleInGarageArea	```\ngarageName example "Michael - Beverly Hills"\n```
IsVehicleInSubmarineMode	```\nNativeDB Introduced: v1290\n```
IsVehicleModHswExclusive	```\nmpsum2_g9ec\n```\n\n```\nNativeDB Introduced: v2699\n```
IsVehicleNeonLightEnabled	```\nindices:  \n0 = Left  \n1 = Right  \n2 = Front  \n3 = Back  \n```
IsVehicleNodeIdValid	```\nReturns true if the id is non zero.  \n```
IsVehicleOnAllWheels	```\nPublic Function isVehicleOnAllWheels(vh As Vehicle) As Boolean  \nReturn Native.Function.Call(Of Boolean)(Hash.IS_VEHICLE_ON_ALL_WHEELS, vh)  \n      End Function  \n```
IsVehicleParachuteActive	Does not work for vehicle of type: CBike, CBmx, CBoat, CTrain, CSubmarine.
IsVehicleRadioOn	\n\n**Parameters**\n- `vehicle`: The vehicle to check\n\n**Returns** Returns true if the given vehicle's radio on\n\n```lua\nlocal radioEnabled = IsVehicleRadioEnabled(GetVehiclePedIsIn(PlayerPedId(), false))\nprint(radioEnabled)\n```
IsVehicleSearchlightOn	```\nPossibly: Returns whether the searchlight (found on police vehicles) is toggled on.  \n```
IsVehicleSeatAccessible	```\nCheck if a vehicle seat is accessible. If you park your vehicle near a wall and the ped cannot enter/exit this side, the return value toggles from true (not blocked) to false (blocked).\nside = only relevant for bikes/motorcycles to check if the left (false)/right (true) side is blocked.\nonEnter = check if you can enter (true) or exit (false) a vehicle.\n```\n\n**Parameters**\n- `vehicle`: The vehicle to check.\n- `seatIndex`: See eSeatPosition declared in [`IS_VEHICLE_SEAT_FREE`](#\\_0x22AC59A870E6A669).
IsVehicleSeatFree	Seat indices range from -1 to [`GET_VEHICLE_MAX_NUMBER_OF_PASSENGERS`](#\\_0xA7C4F2C6E744A550) minus one.\n\n```cpp\n// CTaskExitVehicleSeat::eSeatPosition - 1\nenum eSeatPosition\n{\n    SF_FrontDriverSide = -1,\n    SF_FrontPassengerSide = 0,\n    SF_BackDriverSide = 1,\n    SF_BackPassengerSide = 2,\n    SF_AltFrontDriverSide = 3,\n    SF_AltFrontPassengerSide = 4,\n    SF_AltBackDriverSide = 5,\n    SF_AltBackPassengerSide = 6,\n};\n```\n\n```\nNativeDB Added Parameter 3: BOOL isTaskRunning\n\nisTaskRunning = on true the function returns already false while a task on the target seat is running (TASK_ENTER_VEHICLE/TASK_SHUFFLE_TO_NEXT_VEHICLE_SEAT) - on false only when a ped is finally sitting in the seat.\n```\n\n**Parameters**\n- `vehicle`: The vehicle to check.\n- `seatIndex`: The eSeatPosition or -2 for **any** vehicle seat.
IsVehicleSirenOn	Returns whether the vehicle's lights and sirens are on.\n\n**Returns** Returns false if siren and lights are disabled or true if they are enabled.\n\n```lua\nlocal veh = GetVehiclePedIsIn(PlayerPedId())\nprint(tostring(IsVehicleSirenOn(veh))\n```
IsVehicleSlipstreamLeader	\n\n**Returns** True if the vehicle is being slipstreamed by another vehicle
IsVehicleSprayable	```\nReturns false if the vehicle has the FLAG_NO_RESPRAY flag set.\n```
IsVehicleStopped	```\nReturns true if the vehicle's current speed is less than, or equal to 0.0025f.\nFor some vehicles it returns true if the current speed is <= 0.00039999999.\n```\n\n**Returns** True if the vehicle's speed is equal to, or less than 0.02 meters per second, or 0.05 meters per second, if the vehicle's handbrake is engaged.
IsVehicleStoppedAtTrafficLights	This native checks if the given vehicle is stopped at a red or amber traffic light junction, provided the driver's personality is set to not run amber lights.\n\n**Parameters**\n- `vehicle`: The vehicle handle.\n\n**Returns** Will return `true` if the vehicle is at an amber light junction and the vehicle driver's personality is set to not run amber lights, or if the vehicle is at a red light, regardless of the driver's personality.\nWill return `false` if the vehicle is stopped behind another vehicle waiting at a traffic light.
IsVehicleStuckTimerUp	```\np1 can be anywhere from 0 to 3 in the scripts. p2 is generally somewhere in the 1000 to 10000 range.  \n```
IsVehicleTyreBurst	```cpp\nenum eVehicleWheels\n{\n WHEEL_LF = 0, // Vehicle Left front\n WHEEL_RF = 1, // Vehicle Right front\n WHEEL_LM = 2, // Vehicle Left middle\n WHEEL_RM = 3, // Vehicle Right middle\n WHEEL_LR = 4, // Vehicle Left rear\n WHEEL_RR = 5, // Vehicle Right rear\n WHEEL_BF = 6, // Bike front\n WHEEL_BR = 7, // Bike rear\n MAX_WHEELS = 8\n};\n```\n\n**Parameters**\n- `vehicle`: The vehicle to check the tire status of\n- `wheelID`: The wheel id to check, see `eVehicleWheels`\n- `isBurstToRim`: Whether it should only return `true` if the tire is bursted to its rims\n\n**Returns** Returns `true` if the vehicle tire is poped, `false` otherwise.
IsVehicleWheelBrokenOff	Getter for [BREAK_OFF_VEHICLE_WHEEL](?\\_0xA274CADB).\n\n**Parameters**\n- `vehicle`: The vehicle handle.\n- `wheelIndex`: The wheel index.\n\n```lua\nlocal vehicle = GetVehiclePedIsIn(PlayerPedId())\n\nif DoesEntityExist(vehicle) then\n  local isWheelBroken = IsVehicleWheelBrokenOff(vehicle, 1)\n  print("Is wheel 1 broken? ", isWheelBroken)\nend\n```
IsVehicleWindowIntact	```cpp\nenum eWindowId {\n VEH_EXT_WINDOW_LF = 0,\n VEH_EXT_WINDOW_RF = 1,\n VEH_EXT_WINDOW_LR = 2,\n VEH_EXT_WINDOW_RR = 3,\n VEH_EXT_WINDOW_LM = 4,\n VEH_EXT_WINDOW_RM = 5,\n VEH_EXT_WINDSCREEN = 6,\n VEH_EXT_WINDSCREEN_R = 7,\n}\n```\n\n**Parameters**\n- `vehicle`: The vehicle handle\n- `windowIndex`: The index of the window
IsWarningMessageActive	Returns true if a Warning Message or ReportUGC menu is active.
IsWarningMessageActive_2	```\nIS_WARNING_MESSAGE_*\n```
IsWorldPointWithinBrainActivationRange	```\nGets whether the world point the calling script is registered to is within desired range of the player.  \n```
IsXbox360Version	\n\n**Returns** Hard-coded to always return 0.
LandingMenuIsActive	```\nReturns true if the current frontend menu is FE_MENU_VERSION_LANDING_MENU\n```
LeaveCursorMode	Leaves cursor mode. This function supports SDK infrastructure and is not intended to be used directly from your code.
LinkStaticEmitterToEntity	Links a static emitter to the given entity
LoadAllPathNodes	```\nThis native has been removed in v1180.  \n```\n\n**Parameters**\n- `keepInMemory`: if true, all path nodes will be loaded and be kept in memory; otherwise, all path nodes will be loaded, but unloaded as the game sees fit.
LoadCloudHat	```\nThe following cloudhats are useable:\naltostratus\nCirrus\ncirrocumulus\nClear 01\nCloudy 01\nContrails\nHorizon\nhorizonband1\nhorizonband2\nhorizonband3\nhorsey\nNimbus\nPuffs\nRAIN\nSnowy 01\nStormy 01\nstratoscumulus\nStripey\nshower\nWispy\n```
LoadContentChangeSetGroup	```\nFrom fm_deathmatch_creator and fm_race_creator:\n\nFILES::_UNLOAD_CONTENT_CHANGE_SET_GROUP(joaat("GROUP_MAP_SP"));\nFILES::_LOAD_CONTENT_CHANGE_SET_GROUP(joaat("GROUP_MAP"));\n\nNativeDB Introduced: v1604\n```
LoadGlobalWaterType	0 - default\n1 - HeistIsland\n\n```\nNativeDB Introduced: v2189\n```
LoadPlayerCommerceData	> This native is deprecated and may be removed in a future version. Use [`LOAD_PLAYER_COMMERCE_DATA_EXT`](#\\_0x7995539E) instead.\n\nRequests the commerce data for the specified player, including the owned SKUs. Use `IS_PLAYER_COMMERCE_INFO_LOADED` to check if it has loaded.\n\n**Parameters**\n- `playerSrc`: The player handle
LoadPlayerCommerceDataExt	Requests the commerce data from Tebex for the specified player, including the owned SKUs.\n\nUse [`IS_PLAYER_COMMERCE_INFO_LOADED_EXT`](#\\_0x1D14F4FE) to check if it has loaded.\n\nThis will not automatically update whenever a client purchases a package, if you want to fetch new purchases you will need to call this native again.\n\nThis native will temporarily cache the players commerce data for 10 seconds, a call to this native after 10 seconds will re-fetch the players commerce data.\n\n**Parameters**\n- `playerSrc`: The player handle\n\n```lua\nRegisterNetEvent("doesOwnPackage", function(packageIdSku)\n -- source isn't valid across waits, so we localize it\n local source = source\n\n -- input isn't right\n if type(packageIdSku) ~= "number" then\n  return\n end\n\n -- The native will cache the results\n LoadPlayerCommerceDataExt(source)\n -- Wait for the players data to load\n while not IsPlayerCommerceInfoLoadedExt(source) do\n  Wait(0)\n end\n\n -- Tell the client if they own the package or not\n TriggerClientEvent("doesOwnPackage", source, DoesPlayerOwnSkuExt(source, packageIdSku))\nend)\n```
LoadResourceFile	Reads the contents of a text file in a specified resource.\nIf executed on the client, this file has to be included in `files` in the resource manifest.\nExample: `local data = LoadResourceFile("devtools", "data.json")`\n\n**Parameters**\n- `resourceName`: The resource name.\n- `fileName`: The file in the resource.\n\n**Returns** The file contents
LoadRopeData	```\nRope presets can be found in the gamefiles. One example is "ropeFamily3", it is NOT a hash but rather a string.\n```
LoadStream	Load in named stream. Optionally can specify a sound set which contains the sound specified by name.\n\nNames for the streams can be found [here](https://gist.github.com/4mmonium/2bd2c9c54d6ca5cbdb7b156a82a3a85a), the list will be updated as more are found.\n\n**Parameters**\n- `soundSet`: an optional sound set, default is null
LoadStreamWithStartOffset	Load in named stream. Optionally can specify a sound set which contains the sound specified by name.
LoadWaterFromPath	Define the xml in a resources fxmanifest, under the file(s) section.\n\n**Parameters**\n- `resourceName`: The name of the resource containing your modified water definition\n- `fileName`: The name of the file\n\n**Returns** Returns true on success.\n\n```lua\nlocal success = LoadWaterFromPath('my-resource-name', 'water-all-over-the-place.xml')\n```
LoadingscreenSetLoadFreemodeWithEventName	```\nOnly occurrence was false, in maintransition.  \n```
LocalizationGetSystemDateFormat	```\nPossible return values: 0, 1, 2\n```
LocalizationGetSystemLanguage	```\nSame return values as GET_CURRENT_LANGUAGE\n```
LockLoadingScreenButtons	Updates the display of the MP/SP loading buttons, and locks the state so that other options are not displayed or changed. This can only be done once.
LockMinimapAngle	```\nLocks the minimap to the specified angle in integer degrees.  \nangle: The angle in whole degrees. If less than 0 or greater than 360, unlocks the angle.  \n```
LockMinimapPosition	```\nLocks the minimap to the specified world position.  \n```
LockRadioStation	This disables the radio station completely - it won't be selectable on the radio wheel or ever be heard coming from a vehicle/ambient emitter\n\n```\nNativeDB Introduced: v1493\n```
Log10	```\nNativeDB Introduced: v1604\n```
LogDebugInfo	```\nNot present in retail version of the game, actual definiton seems to be\n_LOG_DEBUG_INFO(const char* category, const char* debugText);\n```
